refSeqname	GeneName	pos	.Lgr5+_FPKM	Lgr5-_FPKM
NM_001195025	Nuak2	chr1:134212701-134230065	0.326479	0.822886
NM_028778	Nuak2	chr1:134212701-134230065	9.13148	8.9242
NM_027671	Sntg1	chr1:8352741-9289811	0	0
NM_175642	Bai3	chr1:25124320-25886552	0	0
NM_008922	Prim2	chr1:33510655-33726603	13.4174	4.09351
NM_175370	Als2cr12	chr1:58714963-58752833	1.23867	10.2445
NM_178884	Obsl1	chr1:75482399-75503027	1.33997	0.306688
NM_198680	Serpinb3b	chr1:109050537-109057691	0	0
NM_199021	Dpp10	chr1:125228714-125942136	0	0
NM_001113391	Cd247	chr1:167718811-167801284	0	0
NM_031162	Cd247	chr1:167718811-167801284	1.28338	2.88254
NM_001113392	Cd247	chr1:167718811-167801284	2.22124	0
NM_001113393	Cd247	chr1:167718811-167801284	0.162392	0
NM_001113394	Cd247	chr1:167718811-167801284	0.00520155	0
NM_011465	Spna1	chr1:176102906-176178580	0	0.527052
NM_130890	Capn8	chr1:184495137-184562483	1.02294	0
NM_177834	Cpa6	chr1:10314807-10710024	0	0
NM_001160370	A830018L16Rik	chr1:11404185-11965983	0	0
NM_001160371	A830018L16Rik	chr1:11404185-11965983	0	0
NM_001160369	A830018L16Rik	chr1:11404185-11965983	0	0
NM_177173	A830018L16Rik	chr1:11404185-11965983	0	0
NM_145381	Lactb2	chr1:13615979-13650590	8.53277	13.9453
NM_027974	Efhc1	chr1:20941706-20980922	0	0
NM_133235	Khdrbs2	chr1:32229650-32714583	0	0
NM_001126046	Fam178b	chr1:36619540-36740028	0	0
NM_201365	Fam178b	chr1:36619540-36740028	0	0
NM_028096	2010300C02Rik	chr1:37668520-37776656	18.6614	4.89174
NM_001081198	Tmem182	chr1:40862445-40912112	0	0
NM_009418	Tpp2	chr1:43990851-44059816	3.58013	5.95241
NM_001160386	Dnahc7b	chr1:46123582-46430395	0	0
NM_001114663	Plcl1	chr1:55462789-55811129	0	0.220395
NM_007642	Cd28	chr1:60803231-60830203	0	1.51262
NM_001081050	Pard3b	chr1:61685397-62688858	3.76412	3.12
NM_029160	Spag16	chr1:69873561-70771706	0	0
NM_025728	Spag16	chr1:69873561-70771706	0	0
NM_175210	Abca12	chr1:71289663-71461484	0	0
NM_010154	Erbb4	chr1:68086539-69154633	0	0
NM_175291	Dock10	chr1:80497647-80755128	0	13.8158
NM_010472	Agfg1	chr1:82836057-82892850	15.5827	39.5021
NM_030184	Armc9	chr1:88051354-88174859	0.196615	0.348329
NM_027456	Armc9	chr1:88051354-88174859	1.3718	0
NM_023314	Eif4e2	chr1:89110488-89137063	3.43425	2.1429
NM_011066	Per2	chr1:93312558-93355905	28.5948	18.7349
NM_145519	Farp2	chr1:95408680-95532304	9.86359	5.00789
NM_009183	St8sia4	chr1:97484258-97564171	0	0.436973
NM_173760	Ppip5k2	chr1:99602622-99666669	19.0477	17.4487
NM_172851	Cntnap5b	chr1:101669341-102382519	0	0
NM_019933	Ptpn4	chr1:121554669-121733648	1.78162	0.916718
NM_172484	Nckap5	chr1:127810212-128727209	0.297175	1.96226
NM_001081756	Nckap5	chr1:127810212-128727209	0.164563	7.04325
NM_176957	Nckap5	chr1:127810212-128727209	0	0.00717386
NM_181750	R3hdm1	chr1:129999882-130134312	40.4332	18.0133
NM_019777	Ikbke	chr1:133151178-133176140	7.57922	7.71641
NM_175443	Etnk2	chr1:135260148-135276895	0.677746	0
NM_028320	Adipor1	chr1:136312043-136328918	39.1736	36.9703
NM_173437	Nav1	chr1:137331156-137481932	22.7786	2.81127
NM_001081258	Kif14	chr1:138364534-138428088	3.16872	0
NM_021605	Nek7	chr1:140381290-140516273	0.910215	2.51631
NM_022312	Tnr	chr1:161453899-161855053	0	0
NM_013862	Rabgap1l	chr1:162149304-162723069	4.00837	11.6136
NM_001081290	Prrc2c	chr1:164601915-164670687	119.333	55.3831
NM_001205204	Astn1	chr1:160292434-160621917	0	0
NM_007495	Astn1	chr1:160292434-160621917	0	0
NM_022563	Ddr2	chr1:171902437-172019075	0	0
NM_001159525	Pex19	chr1:174056885-174066628	15.5919	32.113
NM_023041	Pex19	chr1:174056885-174066628	18.2229	4.61431
NM_001199003	Rgs7	chr1:176989206-177422676	0.216099	0
NM_011880	Rgs7	chr1:176989206-177422676	0.310305	0
NM_026626	Efcab2	chr1:180336011-180413380	0	0
NM_027188	Smyd3	chr1:180885169-181448134	0.474337	0.664097
NM_133684	Mosc2	chr1:186636946-186669726	18.2127	18.437
NM_001011874	Xkr4	chr1:3204562-3661579	0	0
NM_001195662	Rp1	chr1:4280926-4399322	0	0
NM_001159750	Tcea1	chr1:4847774-4887990	5.28877	3.33892
NM_011541	Tcea1	chr1:4847774-4887990	0.43681	3.22988
NM_001159751	Tcea1	chr1:4847774-4887990	0.164379	0.0318259
NM_021374	Rgs20	chr1:4899656-5060366	0	0
NM_001177795	Rgs20	chr1:4899656-5060366	0	0
NM_133826	Atp6v1h	chr1:5073253-5152630	4.38157	19.2458
NM_173868	St18	chr1:6720131-6851021	2.63747	0.953826
NR_015470	2610203C22Rik	chr1:9538126-9621173	0	0
NM_133220	Sgk3	chr1:9788210-9892649	0.0664188	0.119645
NM_177547	Sgk3	chr1:9788210-9892649	0.0847934	4.4211
NM_145692	Lrrc67	chr1:9958706-9999211	0	0
NM_026493	Cspp1	chr1:10028298-10126849	2.77452	1.35629
NM_029525	Prex2	chr1:10983545-11293763	0.00108476	0.364254
NM_001033636	Prex2	chr1:10983545-11293763	0.00214226	0.0173534
NM_001198565	Sulf1	chr1:12682510-12850453	0	0
NM_001198566	Sulf1	chr1:12682510-12850453	0	0
NM_172294	Sulf1	chr1:12682510-12850453	0	0
NM_172841	Slco5a1	chr1:12856630-12981216	0	0
NM_001081209	Prdm14	chr1:13103508-13117244	0	0
NM_001077695	Ncoa2	chr1:13129239-13364164	1.818	4.33757
NM_008678	Ncoa2	chr1:13129239-13364164	18.9851	11.7829
NM_010164	Eya1	chr1:14159038-14300280	0	0
NM_001098528	Kcnb2	chr1:15302532-15704295	0.955795	0
NM_001033288	Gm106	chr1:15843942-15882803	0	0
NM_133832	Rdh10	chr1:16095962-16122631	2.80375	3.63389
NM_001111272	Stau2	chr1:16218890-16509383	2.14375	3.58505
NM_025303	Stau2	chr1:16218890-16509383	2.34086	3.99917
NM_026456	Tceb1	chr1:16632845-16646946	5.59002	17.7274
NM_020604	Jph1	chr1:16985020-17087970	0	0
NM_153154	Tcfap2d	chr1:19093102-19156413	0	0
NM_153179	Pkhd1	chr1:20047859-20608138	0	0
NM_001077353	Gsta3	chr1:21230669-21255640	0	0.285786
NM_010356	Gsta3	chr1:21230669-21255640	0	3.01443
NM_001160139	Kcnq5	chr1:21388483-21952023	0	0
NM_023872	Kcnq5	chr1:21388483-21952023	0	0
NM_001012623	Rims1	chr1:22278502-22812563	0	0
NM_001012624	Rims1	chr1:22278502-22812563	0	0
NM_001012625	Rims1	chr1:22278502-22812563	0	0
NM_053270	Rims1	chr1:22278502-22812563	0	0
NM_183018	Rims1	chr1:22278502-22812563	0	0
NM_028534	Smap1	chr1:23768764-23929128	13.8337	31.2457
NM_007740	Col9a1	chr1:24184448-24259577	0	0
NM_007733	Col19a1	chr1:24264521-24594276	0	0
NM_026719	Lmbrd1	chr1:24685382-24823146	2.94039	9.60626
NM_001033764	4931408C20Rik	chr1:26738645-26744305	0	0
NM_001013750	Gm597	chr1:28832966-28837097	0	0
NM_177235	Bend6	chr1:33908896-33964466	0	0
NM_133833	Dst	chr1:34068669-34365497	3.25636	9.67921
NM_134448	Dst	chr1:34068669-34365497	0.122572	2.60276
NM_183019	Arhgef4	chr1:34858566-34869599	3.68411	0
NM_001039551	Cnnm3	chr1:36568720-36585082	1.25552	0.106478
NM_053186	Cnnm3	chr1:36568720-36585082	12.0115	3.30975
NM_009539	Zap70	chr1:36818705-36839661	0	12.383
NM_018872	Tmem131	chr1:36849033-36996372	66.8466	48.2747
NM_198006	6330578E17Rik	chr1:37473929-37486948	21.8007	20.7114
NM_207228	Tsga10	chr1:37811620-37921924	0	0.857112
NM_027111	Lyg1	chr1:38003582-38014604	0	0
NM_019570	Rev1	chr1:38054854-38186507	2.83177	2.34577
NM_010678	Aff3	chr1:38234171-38721800	0	3.97123
NM_145142	Chst10	chr1:38920717-38955005	0	1.99253
NM_008719	Npas2	chr1:39251116-39420085	17.4714	25.538
NM_018775	Tbc1d8	chr1:39424695-39535592	4.35961	2.23278
NM_008696	Map4k4	chr1:39957757-40083155	13.2422	5.53813
NM_008362	Il1r1	chr1:40281924-40373022	0	1.25329
NM_001123382	Il1r1	chr1:40281924-40373022	0	0.228802
NM_010743	Il1rl1	chr1:40496493-40522259	0	0
NM_001025602	Il1rl1	chr1:40496493-40522259	0	1.21093
NM_001033289	Slc9a2	chr1:40738556-40825730	7.85262	10.6798
NR_027826	2610017I09Rik	chr1:42705044-42751670	0	0
NM_001013025	Tgfbrap1	chr1:43104113-43155467	10.8301	13.1647
NM_010879	Nck2	chr1:43502595-43627363	14.771	5.6939
NM_023645	Kdelc1	chr1:44163390-44175618	0.664292	0
NM_028450	Gulp1	chr1:44608515-44853681	0	0
NM_007737	Col5a2	chr1:45431175-45560127	0	0.274626
NM_028599	Wdr75	chr1:45852345-45880458	4.4206	4.14364
NM_019790	Tmeff2	chr1:50984366-51244114	0	0
NM_001161817	Myo1b	chr1:51806609-51972818	0.127971	0.278924
NM_010863	Myo1b	chr1:51806609-51972818	3.86758	0.472059
NM_001142647	Tmem194b	chr1:52687548-52708763	0.680311	3.50179
NR_024590	Tmem194b	chr1:52687548-52708763	1.59816	0.1237
NM_146108	Hibch	chr1:52901889-52977704	2.05731	4.83817
NM_153556	Pms1	chr1:53246031-53353840	1.26593	2.61798
NM_001001883	Hecw2	chr1:53863717-54251878	0	0
NM_172655	Hecw2	chr1:53863717-54251878	0	0
NM_030025	Ccdc150	chr1:54307526-54425571	0	0
NM_001081433	Ankrd44	chr1:54702183-54983231	1.40288	9.40481
NM_031179	Sf3b1	chr1:55042012-55084322	24.9764	24.827
NM_139146	Satb2	chr1:56850824-57028178	8.13599	4.94749
NM_144882	Spats2l	chr1:57831704-58005241	0.123675	0.868295
NM_001164566	Spats2l	chr1:57831704-58005241	0.31259	0.135836
